(-128, 128, -128)
(-43, 128, -128)
(42, 128, -128)
(127, 128, -128)
(128, -128, -128)
(128, -43, -128)
(128, 42, -128)
(128, 127, -128)
(128, 128, -128)
(128, 128, -43)
(128, 128, 42)
(128, 128, 127)
(-128, -128, -128)
(-128, -43, -128)
(-128, 42, -128)
(-128, 127, -128)
(-128, 128, -43)
(-128, 128, 42)
(-128, 128, 127)
(-43, -128, -128)
(42, -128, -128)
(127, -128, -128)
(128, -128, -43)
(128, -128, 42)
(128, -128, 127)
(-128, -128, -43)
(-128, -128, 42)
(-128, -128, 127)
(-128, 128, 128)
(-43, 128, 128)
(42, 128, 128)
(127, 128, 128)
(128, -128, 128)
(128, -43, 128)
(128, 42, 128)
(128, 127, 128)
(-128, -128, 128)
(-128, -43, 128)
(-128, 42, 128)
(-128, 127, 128)
(-43, -128, 128)
(42, -128, 128)
(127, -128, 128)
(128, 128, 128)
(-128, 128, -128)
(-43, 128, -128)
(42, 128, -128)
(127, 128, -128)
(128, -128, -128)
(128, -43, -128)
(128, 42, -128)
(128, 127, -128)
(128, 128, -128)
(128, 128, -43)
(128, 128, 42)
(128, 128, 127)
(-128, -128, -128)
(-128, -43, -128)
(-128, 42, -128)
(-128, 127, -128)
(-128, 128, -43)
(-128, 128, 42)
(-128, 128, 127)
(-43, -128, -128)
(42, -128, -128)
(127, -128, -128)
(128, -128, -43)
(128, -128, 42)
(128, -128, 127)
(-128, -128, -43)
(-128, -128, 42)
(-128, -128, 127)
(-128, 128, 128)
(-43, 128, 128)
(42, 128, 128)
(127, 128, 128)
(128, -128, 128)
(128, -43, 128)
(128, 42, 128)
(128, 127, 128)
(-128, -128, 128)
(-128, -43, 128)
(-128, 42, 128)
(-128, 127, 128)
(-43, -128, 128)
(42, -128, 128)
(127, -128, 128)
(128, 128, 128)
